CMDLINE /Users/michael/anaconda3/bin/python metacritic_svd.py
MEM 0.941406 1520217629.7480
MEM 9.957031 1520217629.8523
MEM 13.015625 1520217629.9564
MEM 17.617188 1520217630.0609
MEM 21.843750 1520217630.1660
MEM 25.472656 1520217630.2664
MEM 30.902344 1520217630.3703
MEM 34.535156 1520217630.4706
MEM 37.214844 1520217630.5727
MEM 33.996094 1520217630.6730
MEM 34.652344 1520217630.7769
MEM 36.128906 1520217630.8774
MEM 43.468750 1520217630.9777
MEM 44.878906 1520217631.0783
MEM 44.878906 1520217631.1791
MEM 45.093750 1520217631.2839
MEM 46.937500 1520217631.3884
MEM 47.660156 1520217631.4913
MEM 51.332031 1520217631.5916
MEM 56.363281 1520217631.6955
MEM 59.640625 1520217631.7959
MEM 59.750000 1520217631.8993
MEM 61.140625 1520217632.0009
MEM 62.093750 1520217632.1056
MEM 65.628906 1520217632.2063
MEM 71.839844 1520217632.3069
MEM 74.667969 1520217632.4083
MEM 78.195312 1520217632.5087
MEM 80.761719 1520217632.6093
MEM 84.117188 1520217632.7098
MEM 87.640625 1520217632.8106
MEM 91.105469 1520217632.9155
MEM 93.500000 1520217633.0161
MEM 93.992188 1520217633.1208
MEM 95.367188 1520217633.2211
MEM 98.058594 1520217633.3222
MEM 100.308594 1520217633.4229
MEM 103.640625 1520217633.5236
MEM 105.214844 1520217633.6261
MEM 111.605469 1520217633.7282
MEM 127.539062 1520217633.8293
MEM 145.101562 1520217633.9336
MEM 157.429688 1520217634.0361
MEM 175.335938 1520217634.1406
MEM 177.531250 1520217634.2412
MEM 185.402344 1520217634.3428
MEM 188.957031 1520217634.4443
MEM 203.097656 1520217634.5446
MEM 233.179688 1520217634.6453
MEM 272.144531 1520217634.7461
MEM 310.843750 1520217634.8470
MEM 352.503906 1520217634.9513
MEM 369.562500 1520217635.0565
MEM 368.238281 1520217635.1571
MEM 367.332031 1520217635.2593
MEM 367.335938 1520217635.3598
MEM 376.585938 1520217635.4601
MEM 384.917969 1520217635.5605
MEM 405.968750 1520217635.6611
MEM 404.570312 1520217635.7613
MEM 404.570312 1520217635.8662
MEM 404.578125 1520217635.9665
MEM 404.589844 1520217636.0688
MEM 404.613281 1520217636.1724
MEM 404.683594 1520217636.2776
MEM 404.804688 1520217636.3784
MEM 404.925781 1520217636.4814
MEM 405.062500 1520217636.5862
MEM 405.128906 1520217636.6915
MEM 405.246094 1520217636.7949
MEM 405.324219 1520217636.8963
MEM 405.437500 1520217636.9981
MEM 405.632812 1520217637.0999
MEM 405.726562 1520217637.2002
MEM 405.839844 1520217637.3052
MEM 405.992188 1520217637.4101
MEM 406.109375 1520217637.5107
MEM 406.210938 1520217637.6119
MEM 406.355469 1520217637.7162
MEM 406.585938 1520217637.8167
MEM 406.777344 1520217637.9188
MEM 406.855469 1520217638.0240
MEM 406.992188 1520217638.1243
MEM 407.125000 1520217638.2257
MEM 407.316406 1520217638.3260
MEM 407.402344 1520217638.4263
MEM 407.660156 1520217638.5268
MEM 407.968750 1520217638.6273
MEM 408.339844 1520217638.7309
MEM 408.703125 1520217638.8328
MEM 409.679688 1520217638.9363
MEM 410.062500 1520217639.0390
MEM 410.187500 1520217639.1430
MEM 410.449219 1520217639.2461
MEM 410.804688 1520217639.3473
MEM 411.175781 1520217639.4511
MEM 411.484375 1520217639.5563
MEM 411.925781 1520217639.6566
MEM 412.308594 1520217639.7574
MEM 412.695312 1520217639.8589
MEM 413.039062 1520217639.9595
MEM 413.472656 1520217640.0620
MEM 413.960938 1520217640.1625
MEM 414.359375 1520217640.2655
MEM 414.796875 1520217640.3663
MEM 415.191406 1520217640.4695
MEM 415.421875 1520217640.5736
MEM 415.660156 1520217640.6771
MEM 415.949219 1520217640.7777
MEM 416.414062 1520217640.8828
MEM 416.910156 1520217640.9863
MEM 417.433594 1520217641.0901
MEM 417.832031 1520217641.1908
MEM 418.312500 1520217641.2942
MEM 418.906250 1520217641.3989
MEM 419.238281 1520217641.4993
MEM 419.554688 1520217641.5996
MEM 420.050781 1520217641.7003
MEM 420.496094 1520217641.8019
MEM 420.980469 1520217641.9021
MEM 421.410156 1520217642.0068
MEM 418.714844 1520217642.1073
MEM 433.468750 1520217642.2077
MEM 404.964844 1520217642.3080
MEM 405.890625 1520217642.4082
MEM 428.152344 1520217642.5107
MEM 428.621094 1520217642.6113
MEM 422.746094 1520217642.7146
