CMDLINE /Users/michael/anaconda3/bin/python metacritic_svd_artists.py
MEM 0.023438 1520284827.9562
MEM 12.035156 1520284828.0568
MEM 17.972656 1520284828.1571
MEM 23.300781 1520284828.2574
MEM 29.136719 1520284828.3605
MEM 36.734375 1520284828.4615
MEM 34.257812 1520284828.5634
MEM 36.523438 1520284828.6678
MEM 44.660156 1520284828.7684
MEM 45.136719 1520284828.8713
MEM 46.769531 1520284828.9725
MEM 50.796875 1520284829.0759
MEM 59.718750 1520284829.1806
MEM 63.828125 1520284829.2865
MEM 72.031250 1520284829.3894
MEM 78.152344 1520284829.4944
MEM 85.992188 1520284829.5989
MEM 93.019531 1520284829.7000
MEM 94.675781 1520284829.8015
MEM 102.078125 1520284829.9040
MEM 105.265625 1520284830.0082
MEM 105.265625 1520284830.1088
MEM 105.265625 1520284830.2097
MEM 105.265625 1520284830.3121
MEM 105.265625 1520284830.4124
MEM 105.265625 1520284830.5167
MEM 105.265625 1520284830.6192
MEM 109.644531 1520284830.7227
MEM 126.343750 1520284830.8273
MEM 161.652344 1520284830.9317
MEM 178.269531 1520284831.0338
MEM 192.953125 1520284831.1377
MEM 211.703125 1520284831.2429
MEM 211.718750 1520284831.3448
MEM 211.753906 1520284831.4465
MEM 211.796875 1520284831.5479
MEM 211.839844 1520284831.6509
MEM 211.902344 1520284831.7535
MEM 212.136719 1520284831.8577
MEM 212.277344 1520284831.9623
MEM 212.425781 1520284832.0633
MEM 212.902344 1520284832.1647
MEM 213.144531 1520284832.2659
MEM 213.289062 1520284832.3667
MEM 213.476562 1520284832.4705
MEM 213.664062 1520284832.5757
MEM 213.878906 1520284832.6803
MEM 213.996094 1520284832.7814
MEM 214.167969 1520284832.8824
MEM 212.765625 1520284832.9855
MEM 224.343750 1520284833.0879
FUNC __main__.run_profiler 100.0859 1520284829.8772 228.3828 1520284834.4702
MEM 216.242188 1520284833.1932
MEM 223.320312 1520284833.2968
MEM 268.304688 1520284833.3990
MEM 420.914062 1520284833.4998
MEM 579.816406 1520284833.6015
MEM 688.898438 1520284833.7042
MEM 688.910156 1520284833.8068
MEM 688.910156 1520284833.9114
MEM 688.910156 1520284834.0117
MEM 688.910156 1520284834.1142
MEM 688.910156 1520284834.2148
MEM 688.910156 1520284834.3187
MEM 688.910156 1520284834.4191
MEM 158.074219 1520284834.5206
MEM 143.332031 1520284834.6218
