critic_name,album_name,album_rating,album_description
Logo,Meltdown,70,A below par effort by their high standards.
Logo,Happiness In Magazines,90,"The defining characteristic of Happiness In Magazines isn't its full sound, nor its sharp reminder of what a great band Blur used to be; its in the sheer imaginative scope."
Logo,Homesongs,80,"Nothing less than a whole new world will do, and Adem has created just that."
Logo,Scissor Sisters,90,The key is - unlike the tongue-in-cheek cock-rock of The Darkness and the running joke of Electric Six - Scissor Sisters are reverential to the sounds of the 70's.
Logo,One Soul Now,60,"It most probably won't attract new fans, but Margo Timmins' voice is as unique as Thalia Zedek's, for example, and remains their greatest asset."
Logo,Drill A Hole In That Substrate And Tell Me What You See,80,"His mumbled burr recalls that half-awake state where reality melts, a strain of Southern Gothic best listened to at 3am with a half-empty bottle of bourbon and all the lights on."
Logo,Uh Huh Her,100,"From the start, she's made an ideal record for people who already like her."
Logo,Modern Apprentice,90,"Quite simply, this is the most invigorating album released in recent times and definitely one for the collection."
Logo,Auf Der Maur,80,"Though Auf Der Maur has run off with their blueprint and built it as seen, there's raw passion and no little class here; Corgan and Love must be rueing their luck."
Logo,Sung Tongs,90,This is what you get when you give an overactive imagination the space to expand; it's indescribably perfect.
Logo,Devin Dazzle And The Neon Fever,80,Felix Da Housecat's shift into the wastelands of punk- funk and No Wave has given 'Devin Dazzle And The Neon Fever' the feel of an excursion into virgin territory.
Logo,Achilles Heel,80,"Bazan will never sound truly happy on record, but here he's as content as anyone could have hoped for, and all the healthier for it."
Logo,The Greater Wrong Of The Right,80,"The names Pitchshifter, Nine Inch Nails and Rammstein are often bandied about in this company, but here's a tip: Skinny Puppy have rendered them once again irrelevant."
Logo,Vol 3: (The Subliminal Verses),70,"A significant broadening of the tonal spectrum notwithstanding, the outfit manages to keep their ferocity intact, although the malevolence is structured with a shrewd infusion of melodic vocals, flourishing experimental dynamics and a motherlode of striking riffs."
Logo,Faded Seaside Glamour,80,"It isn't the place of a debut to straddle styles as diverse as harmony-drenched 60's beat-soul, the shoegazing sound-paintings of the 80's and relaxed futurism of now, yet this is their debut, and it covers all this and more."
Logo,Now Here Is Nowhere,60,"Unfortunately there are only flashes of Curtis breaking free of the overwhelming dominance of their prog tendencies. When used sparingly they are rich and absorbing, but in these instances they lack impact."
Logo,Split The Difference,40,"Unfortunately, whereas sounding out of place in the late 90s worked in their favour, in the mid-noughties the lack of pretty faces, Converse Allstars and - perhaps most important of all - any half-decent tunes is unlikely to bring Gomez first prize even in their local pub's battle of the bands."
Logo,You Are The Quarry,70,Even a half good Morrissey album is streets ahead of the competition.
Logo,Up At The Lake,80,Their most accomplished album to date.
